timestamp;bnb_12_week_MA;bnb_marketCap;BTC_12_week_MA;BTC_marketCap;CRO_12_week_MA;CRO_marketCap;ETH_12_week_MA;ETH_marketCap;ICP_12_week_MA;ICP_marketCap;LDO_12_week_MA;LDO_marketCap;MATIC_12_week_MA;MATIC_marketCap;RUNE_12_week_MA;RUNE_marketCap;SAND_12_week_MA;SAND_marketCap;UNI_12_week_MA;UNI_marketCap
2022-12-01;304.11663701666663;48118283430.0;18880.350634443592;318516317872.25;0.09265886195833334;1408671393.96;1408.254605469375;146453523490.15;4.988354937008333;1194748264.55;1.376265190625;346545934.28;0.8576761804083333;8054081647.03;1.443269060575;455541186.19;0.7409455620083335;885301242.1;6.111088769308332;4782246148.8
2023-01-01;300.9893110166667;39407173516.0;18290.90418866835;446082285297.19;0.07574285738333332;1992621254.43;1356.2098458541834;194150467599.55;4.336494939991667;1121673214.97;1.2021758710166666;338036856.28;0.8725898919083334;6637843574.09;1.3624976770833335;420552420.61;0.618056490125;582958437.77;5.914132606625;3998664734.41
2023-02-01;282.16718090833336;49322298701.0;19947.57379170897;446846764116.35;0.0689131711;1978181338.04;1409.7528473453667;196519595895.71;4.519233998374999;1603258655.76;1.5095270300416666;1721597235.29;0.9197633766583332;10520492555.06;1.4752258926166666;581301904.34;0.59518496995;1100049212.79;5.971352070991667;5258718124.03
2023-03-01;282.07784150000003;47601444433.0;22488.275703909025;550593053896.62;0.07402312226666667;1747391407.09;1547.6518324411336;219476732219.84;5.2149516614;1562483152.33;2.0804442552999998;2229777290.73;1.05875264165;9934851222.83;1.5963015311000002;483969675.6;0.6407095587833334;923348883.71;6.2590461704;4841611560.78
2023-04-01;298.5101498166667;50056964246.0;25432.50089627126;566661285145.37;0.07496652500833334;1846409433.2;1695.6832871698168;225975170377.92;5.646003532733332;1512865640.76;2.449174608025;2017007144.93;1.1686450242666666;9956789008.67;1.6148723134749998;469372503.53;0.700799456125;923474497.08;6.498580766608334;3433813193.44
2023-05-01;316.613074625;52626345936.0;27814.361585538543;527773175252.01;0.071522083775;1504385117.8;1813.219233813017;225361512775.62;5.6809451485333335;2419489248.94;2.4128513607833333;1608348864.44;1.1386999965916667;8931518969.57;1.4812264532083332;418047809.45;0.6400198079;1000917010.15;6.062190636816667;3046728474.89
2023-06-01;322.63299109166667;47827181093.0;28554.740845155164;591758288455.82;0.066507207075;1417699350.63;1871.5313829147417;232408283870.42;5.33758089185;2092230845.02;2.1846140779083334;2002683636.46;1.0135021975833334;8289867862.58;1.3503385677250002;388634974.42;0.5950752744166666;1097161958.91;5.589409641575;2894662767.57
2023-07-01;309.456171575;37461938069.0;28985.347630796565;568365621732.67;0.061726647100000004;1485247398.36;1893.0177491976249;223070797299.17;4.972607399391667;1837200586.59;2.0411739894916665;1872576950.32;0.8558340735166667;6351227568.53;1.1791460731666668;356814524.14;0.5186688300083333;836812320.91;5.203809211149999;3215372831.73
2023-08-01;270.8294534916667;37097683428.0;29035.862469316886;504957555550.64;0.057334347475;1275456235.55;1867.2889685091916;197831661218.49;4.309684580758334;1815081240.78;1.9930197932416667;1607402910.42;0.7375482726666666;6213100502.7;1.0119930663083332;316178381.02;0.4554637666916666;832677016.25;5.356978390616667;3435754992.67
2023-09-01;242.262056275;33323655435.0;28149.90540268562;525885640459.76;0.05491297345833334;1283745772.55;1783.4089975701252;200935981760.42;3.9637395324916667;1439754260.27;1.8542004851;1354388030.57;0.6565970979666667;5052763365.72;1.1539377663666668;494612457.49;0.39805851575;630817736.69;5.420746659408334;2548275310.25
2023-10-01;228.50056776666668;33049535220.0;27829.63906451484;677047621125.28;0.05362414373333333;1563939502.68;1721.012474355967;218464638399.94;3.6086661737583334;1474078980.44;1.7244803584333332;1504160548.22;0.6140089997583333;5287236357.17;1.424551496725;706312482.87;0.358489385425;666020800.02;5.143743961958333;2687172007.74
2023-11-01;219.54151660833335;34351764180.0;30898.85463044463;737560917365.82;0.05855604385833333;2246032577.01;1759.2313523075252;246799826112.87;3.3460882024333336;1822196547.99;1.641432995425;1804884825.92;0.5682263932083333;6409480640.54;1.9051085291416667;1134640457.25;0.31696039518333335;777276460.18;4.415105656733334;2813992762.48
2023-12-01;220.98597208333334;34539350410.0;35032.57551218807;827811209384.42;0.07214391375833333;2499552802.07;1909.69282385265;274194287336.36;3.7808854599083332;2118192322.16;1.9166513212166667;2165666167.37;0.6620625447;7551731281.35;3.299311110725;2353960211.76;0.3545968584083334;900048710.29;4.804115452016666;3566504762.77
2024-01-01;247.3852792166667;47394056692.0;39507.92370595751;835231465697.41;0.08797194915833334;2059465345.43;2127.7536014761417;274322642274.31;6.705602057316667;5121268878.92;2.3008653829666668;2609448386.4;0.8026501225500001;7657181541.1;4.873911110391666;1545821647.83;0.45301314689166666;993891401.75;5.733001834925001;3590941207.47
